,Song,Artist,pos,neu,neg,Sentiment
0,Chantaje (feat. Maluma),Shakira,0.0,0.0,0.0,
1,Vente Pa' Ca (feat. Maluma),Ricky Martin,0.0,0.0,0.0,
2,Reggaetn Lento (Bailemos),CNCO,0.0,98.82352941176471,1.1764705882352942,Negative
3,Safari,"J Balvin, Pharrell Williams, BIA, Sky",0.0,100.0,0.0,Neutral
4,Shaky Shaky,Daddy Yankee,0.0,75.92592592592592,24.074074074074073,Negative
5,Traicionera,Sebastian Yatra,5.263157894736842,84.21052631578947,10.526315789473683,Negative
6,Cuando Se Pone a Bailar,Rombai,0.0,100.0,0.0,Neutral
7,Otra vez (feat. J Balvin),Zion & Lennox,0.0,0.0,0.0,
8,La Bicicleta,"Carlos Vives, Shakira",0.0,100.0,0.0,Neutral
9,Dile Que Tu Me Quieres,Ozuna,0.0,100.0,0.0,Neutral
10,Andas En Mi Cabeza,"Chino & Nacho, Daddy Yankee",0.0,0.0,0.0,
11,Desde Esa Noche (feat. Maluma),Thalia,0.0,0.0,0.0,
12,Borro Cassette,Maluma,1.098901098901099,94.5054945054945,4.395604395604396,Negative
13,Gyal You A Party Animal - Remix,"Charly Black, Daddy Yankee",13.461538461538462,83.65384615384616,2.8846153846153846,Positive
14,Me llamas (feat. Maluma) - Remix,Piso 21,11.475409836065573,86.88524590163934,1.639344262295082,Positive
15,La Bicicleta (feat. Maluma) - Remix,"Carlos Vives, Shakira",0.0,100.0,0.0,Neutral
16,DUELE EL CORAZON (feat. Wisin),Enrique Iglesias,0.0,0.0,0.0,
17,Let Me Love You,"DJ Snake, Justin Bieber",30.263157894736842,67.10526315789474,2.631578947368421,Positive
18,La Noche No Es para Dormir,Mano Arriba,0.0,100.0,0.0,Neutral
19,Vacaciones,Wisin,0.8620689655172413,99.13793103448276,0.0,Positive
20,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,0.0,0.0,0.0,
21,Carnavalintro,Chano,0.0,94.73684210526315,5.263157894736842,Negative
22,"Ay Mi Dios (feat. Pitbull, Yandel & Chacal)","IAmChino, El Chacal",1.2345679012345678,97.53086419753086,1.2345679012345678,Neutral
23,One Dance,"Drake, WizKid, Kyla",0.0,0.0,0.0,
24,My Way,Calvin Harris,3.7735849056603774,96.22641509433963,0.0,Positive
25,Cold Water (feat. Justin Bieber & M),Major Lazer,0.0,0.0,0.0,
26,La Gozadera (feat. Marc Anthony),Gente De Zona,0.0,100.0,0.0,Neutral
27,Llamame Mas Temprano,Mano Arriba,0.0,0.0,0.0,
28,Starboy,"The Weeknd, Daft Punk",0.0,0.0,0.0,
29,Manicomio,Cosculluela,11.627906976744185,87.20930232558139,1.1627906976744187,Positive
30,"Cuatro Babys (feat. Trap Capos, Noriel, Bryant Myers & Juhn)",Maluma,0.9523809523809524,99.04761904761905,0.0,Positive
31,Don't Wanna Know,"Maroon 5, Kendrick Lamar",22.727272727272727,73.86363636363636,3.4090909090909087,Positive
32,Sin Contrato (feat. Don Omar & Wisin) - Remix,Maluma,0.0,0.0,0.0,
33,24K Magic,Bruno Mars,9.58904109589041,89.04109589041096,1.36986301369863,Positive
34,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,0.0,0.0,0.0,
35,Fuego,Juanes,0.0,0.0,0.0,
36,Bobo,J Balvin,0.0,100.0,0.0,Neutral
37,In the Name of Love,"Martin Garrix, Bebe Rexha",25.49019607843137,68.62745098039215,5.88235294117647,Positive
38,Tu Ritmo,Los Bonnitos,0.0,0.0,0.0,
39,I Took A Pill In Ibiza - Seeb Remix,Mike Posner,8.695652173913043,84.78260869565217,6.521739130434782,Positive
40,Ya Me Enter (feat. Nicky Jam) - Urban Version,Reik,0.0,98.75,1.25,Negative
41,No Quiere Enamorarse (Remix) [feat. Daddy Yankee],Ozuna,1.098901098901099,96.7032967032967,2.197802197802198,Negative
42,Te Quiero PaMi,"Don Omar, Zion & Lennox",2.247191011235955,95.50561797752809,2.247191011235955,Neutral
43,Sin Contrato (feat. Fifth Harmony),Maluma,4.225352112676056,85.91549295774648,9.859154929577464,Negative
44,Picky,Joey Montana,0.0,98.9795918367347,1.0204081632653061,Negative
45,Work,"Rihanna, Drake",0.0,0.0,0.0,
46,Noche Loca,"Marama, Rombai",4.166666666666666,93.75,2.083333333333333,Positive
47,Don't Let Me Down (feat. Daya),The Chainsmokers,0.0,0.0,0.0,
48,Hasta el Amanecer,Nicky Jam,0.0,100.0,0.0,Neutral
49,Le Hace Falta un Beso,Agapornis,0.0,0.0,0.0,
50,Cake By The Ocean,DNCE,11.29032258064516,79.03225806451613,9.67741935483871,Positive
51,Chillax (feat. Ky-Mani Marley),Farruko,2.5974025974025974,97.40259740259741,0.0,Positive
52,Loquita,Marama,0.0,100.0,0.0,Neutral
53,Te Vas,Ozuna,0.0,91.83673469387756,8.16326530612245,Negative
54,Closer,"The Chainsmokers, Halsey",0.0,0.0,0.0,
55,Locuras contigo,Rombai,0.0,100.0,0.0,Neutral
56,Treat You Better,Shawn Mendes,0.0,0.0,0.0,
57,Era Tranquila,Marama,0.0,100.0,0.0,Neutral
58,Baila,Agapornis,0.0,0.0,0.0,
59,Nena,Marama,4.651162790697675,93.02325581395348,2.3255813953488373,Positive
60,Deja De Llorar,El Polaco,9.615384615384617,90.38461538461539,0.0,Positive
61,El Perdedor,Maluma,0.0,0.0,0.0,
62,Traicionera - Remix,"Sebastian Yatra, Cosculluela, Cali Y El Dandee",0.0,0.0,0.0,
63,Yo te propongo,Rombai,0.0,0.0,0.0,
64,El Perdedor (feat. Yandel) - The Remix,Maluma,3.9603960396039604,93.06930693069307,2.9702970297029703,Positive
65,Lo Intentamos,Marama,1.8181818181818181,96.36363636363636,1.8181818181818181,Neutral
66,Hasta la luna,#TocoParaVos,0.0,0.0,0.0,
67,Comerte a Besos,"Pijama Party, Cande Buasso",1.542257865515114,92.04194941394202,6.415792720542875,Negative
68,La Mordidita (feat. Yotuel),Ricky Martin,0.0,0.0,0.0,
69,Ginza,J Balvin,6.756756756756757,93.24324324324324,0.0,Positive
